test_file,m,n,algorithm,Cmax,runtime_sec
case_m3_n10_lambda0.5_mu5.0_sigma0.5_case157.txt,3,10,IP,28.0,0.02
case_m3_n10_lambda0.5_mu5.0_sigma0.5_case157.txt,3,10,GA,28,0.04
case_m3_n10_lambda0.5_mu5.0_sigma0.5_case143.txt,3,10,IP,20.0,0.01
case_m3_n10_lambda0.5_mu5.0_sigma0.5_case143.txt,3,10,GA,20,0.05
case_m3_n10_lambda0.5_mu5.0_sigma0.5_case142.txt,3,10,IP,22.0,0.02
case_m3_n10_lambda0.5_mu5.0_sigma0.5_case142.txt,3,10,GA,22,0.05
case_m3_n10_lambda0.5_mu5.0_sigma0.5_case156.txt,3,10,IP,19.0,0.02
case_m3_n10_lambda0.5_mu5.0_sigma0.5_case156.txt,3,10,GA,19,0.05
case_m3_n10_lambda0.5_mu5.0_sigma0.5_case181.txt,3,10,IP,23.0,0.01
case_m3_n10_lambda0.5_mu5.0_sigma0.5_case181.txt,3,10,GA,23,0.04
case_m3_n10_lambda0.5_mu5.0_sigma0.5_case195.txt,3,10,IP,34.0,0.01
case_m3_n10_lambda0.5_mu5.0_sigma0.5_case195.txt,3,10,GA,34,0.04
case_m3_n10_lambda0.5_mu5.0_sigma0.5_case58.txt,3,10,IP,33.0,0.02
case_m3_n10_lambda0.5_mu5.0_sigma0.5_case58.txt,3,10,GA,33,0.05
case_m3_n10_lambda0.5_mu5.0_sigma0.5_case64.txt,3,10,IP,20.0,1.3
case_m3_n10_lambda0.5_mu5.0_sigma0.5_case64.txt,3,10,GA,20,0.04
case_m3_n10_lambda0.5_mu5.0_sigma0.5_case70.txt,3,10,IP,20.0,31.79
case_m3_n10_lambda0.5_mu5.0_sigma0.5_case70.txt,3,10,GA,20,0.05
case_m3_n10_lambda0.5_mu5.0_sigma0.5_case66.txt,3,10,IP,21.0,0.02
case_m3_n10_lambda0.5_mu5.0_sigma0.5_case66.txt,3,10,GA,21,0.04
case_m3_n10_lambda0.5_mu5.0_sigma0.5_case72.txt,3,10,IP,18.999999997999662,1.04
case_m3_n10_lambda0.5_mu5.0_sigma0.5_case72.txt,3,10,GA,19,0.05
case_m3_n10_lambda0.5_mu5.0_sigma0.5_case99.txt,3,10,IP,29.0,0.02
case_m3_n10_lambda0.5_mu5.0_sigma0.5_case99.txt,3,10,GA,29,0.04
case_m3_n10_lambda0.5_mu5.0_sigma0.5_case183.txt,3,10,IP,21.0,0.02
case_m3_n10_lambda0.5_mu5.0_sigma0.5_case183.txt,3,10,GA,21,0.04
case_m3_n10_lambda0.5_mu5.0_sigma0.5_case197.txt,3,10,IP,17.0,0.03
case_m3_n10_lambda0.5_mu5.0_sigma0.5_case197.txt,3,10,GA,19,0.04
case_m3_n10_lambda0.5_mu5.0_sigma0.5_case168.txt,3,10,IP,18.0,9.62
case_m3_n10_lambda0.5_mu5.0_sigma0.5_case168.txt,3,10,GA,18,0.04
case_m3_n10_lambda0.5_mu5.0_sigma0.5_case140.txt,3,10,IP,19.0,0.08
case_m3_n10_lambda0.5_mu5.0_sigma0.5_case140.txt,3,10,GA,19,0.04
case_m3_n10_lambda0.5_mu5.0_sigma0.5_case154.txt,3,10,IP,26.0,0.02
case_m3_n10_lambda0.5_mu5.0_sigma0.5_case154.txt,3,10,GA,26,0.04
case_m3_n10_lambda0.5_mu5.0_sigma0.5_case155.txt,3,10,IP,17.999994998094905,14.1
case_m3_n10_lambda0.5_mu5.0_sigma0.5_case155.txt,3,10,GA,18,0.04
case_m3_n10_lambda0.5_mu5.0_sigma0.5_case141.txt,3,10,IP,21.0,0.02
case_m3_n10_lambda0.5_mu5.0_sigma0.5_case141.txt,3,10,GA,22,0.04
case_m3_n10_lambda0.5_mu5.0_sigma0.5_case169.txt,3,10,IP,19.999999990548254,1.2
case_m3_n10_lambda0.5_mu5.0_sigma0.5_case169.txt,3,10,GA,20,0.04
case_m3_n10_lambda0.5_mu5.0_sigma0.5_case196.txt,3,10,IP,18.0,2.65
case_m3_n10_lambda0.5_mu5.0_sigma0.5_case196.txt,3,10,GA,18,0.04
case_m3_n10_lambda0.5_mu5.0_sigma0.5_case182.txt,3,10,IP,21.0,0.02
